,InstanceType,IoOptimized,NetworkType,OSType,RegionId,hour,month,week,year,years-2,years-3,years-4,years-5
875,ecs.se1ne.8xlarge,optimized,vpc,windows,us-east-1,26.068,14140.64,4167.76,133963.92,214342.27,241135.06,257210.73,267927.84
876,ecs.n2.small,optimized,classic,windows,cn-beijing,0.49,141.0,39.48,1438.2,2368.8,2538.0,3384.0,4230.0
877,ecs.n2.large,optimized,vpc,windows,cn-shanghai,1.938,588.0,164.64,5997.6,9878.4,10584.0,14112.0,17640.0
878,ecs.i2.xlarge,optimized,vpc,linux,ap-southeast-1,2.15,1015.55,299.31,9621.0,15393.6,17317.8,18472.32,19242.0
879,ecs.se1ne.2xlarge,optimized,vpc,linux,ap-south-1,3.516,1612.15,475.16,15273.0,24436.8,27491.4,29324.16,30546.0
880,ecs.hfc5.large,optimized,vpc,windows,eu-central-1,1.326,762.02,224.61,7219.17,11550.67,12994.51,13860.81,14438.34
881,ecs.mn4.4xlarge,optimized,vpc,windows,us-west-1,11.516,5930.0,1660.4,60486.0,99624.0,106740.0,142320.0,177900.0
882,ecs.n2.large,optimized,classic,windows,cn-hangzhou,2.04,588.0,164.64,5997.6,9878.4,10584.0,14112.0,17640.0
883,ecs.c1.small,optimized,vpc,windows,cn-hangzhou,2.081,600.0,168.0,6120.0,10080.0,10800.0,14400.0,18000.0
884,ecs.n4.2xlarge,optimized,vpc,windows,cn-zhangjiakou,2.156,653.0,182.84,6660.6,10970.4,11754.0,15672.0,19590.0
885,ecs.d1.4xlarge,optimized,vpc,linux,cn-shenzhen,12.093,3482.7,1026.48,32994.0,52790.4,59389.2,63348.48,65988.0
886,ecs.sn1.medium,optimized,vpc,linux,cn-zhangjiakou,0.684,207.2,58.02,2113.44,3480.96,3729.6,4972.8,6216.0
887,ecs.sn1.7xlarge,optimized,classic,windows,cn-shanghai,14.39,4144.0,1160.32,42268.8,69619.2,74592.0,99456.0,124320.0
888,ecs.c5.6xlarge,optimized,vpc,linux,cn-qingdao,8.864,2553.6,752.64,24192.0,38707.2,43545.6,46448.64,48384.0
889,ecs.m1.xlarge,optimized,vpc,linux,us-east-1,2.803,1444.0,404.31,14728.8,24259.2,25992.0,34656.0,43320.0
890,ecs.se1ne.14xlarge,optimized,vpc,linux,us-east-1,28.41,12555.51,3700.56,118946.97,190315.15,214104.55,228378.18,237893.94
891,ecs.hfg5.4xlarge,optimized,vpc,windows,ap-south-1,10.32,6264.54,1846.39,59348.25,94957.2,106826.85,113948.64,118696.5
892,ecs.n1.small,optimized,vpc,windows,us-east-1,0.223,131.0,36.67,1336.2,2200.8,2358.0,3144.0,3930.0
893,ecs.n1.tiny,optimized,vpc,windows,me-east-1,0.143,86.0,24.08,877.2,1754.4,2631.6,3508.8,4386.0
894,ecs.mn4.8xlarge,optimized,vpc,windows,cn-hangzhou,16.359,4960.0,1388.8,50592.0,83328.0,89280.0,119040.0,148800.0
895,ecs.d1.14xlarge,optimized,vpc,linux,cn-shanghai,42.323,12189.45,3592.68,115479.0,184766.4,207862.2,221719.68,230958.0
896,ecs.sn2.large,optimized,vpc,windows,ap-northeast-1,3.049,1804.0,505.12,18400.8,36801.6,55202.4,73603.2,92004.0
897,ecs.sn1ne.xlarge,optimized,vpc,windows,cn-beijing,1.71,492.1,145.04,4662.0,7459.2,8391.6,8951.04,9324.0
898,ecs.r5.8xlarge,optimized,vpc,windows,cn-beijing,17.205,4955.2,1460.48,46944.0,75110.4,84499.2,90132.48,93888.0
899,ecs.c4.4xlarge,optimized,vpc,windows,cn-shanghai,9.5,2363.6,696.64,22392.0,35827.2,40305.6,42992.64,44784.0
900,ecs.i1.3xlarge,optimized,vpc,linux,cn-hongkong,5.35,2443.4,720.15,23148.0,37036.8,41666.4,44444.16,46296.0
901,ecs.c2.large,none,classic,windows,cn-beijing,5.421,1544.0,432.32,15748.8,25939.2,27792.0,37056.0,46320.0
902,ecs.c4.4xlarge,optimized,vpc,linux,cn-shenzhen,9.5,2363.6,696.64,22392.0,35827.2,40305.6,42992.64,44784.0
903,ecs.d1.8xlarge,optimized,vpc,windows,cn-hongkong,25.0,14255.7,4201.67,135054.0,216086.4,243097.2,259303.68,270108.0
904,ecs.i1-c10d1.8xlarge,optimized,classic,linux,cn-beijing,25.14,5653.44,1582.96,57665.09,94977.79,101761.92,135682.56,169603.2
905,ecs.xn4.small,optimized,vpc,windows,ap-southeast-1,0.14,83.0,23.23,846.6,1394.4,1494.0,1992.0,2490.0
906,ecs.i2.8xlarge,optimized,vpc,linux,cn-shanghai,26.496,7630.4,2248.96,72288.0,115660.8,130118.4,138792.96,144576.0
907,ecs.sn2.13xlarge,optimized,vpc,windows,ap-northeast-1,42.673,25245.0,7068.6,257499.0,514998.0,772497.0,1029996.0,1287495.0
908,ecs.sn2ne.2xlarge,optimized,vpc,windows,ap-south-1,5.054,2945.95,868.28,27909.0,44654.4,50236.2,53585.28,55818.0
909,ecs.e3.large,optimized,classic,windows,cn-beijing,3.46,996.0,278.88,10159.2,16732.8,17928.0,23904.0,29880.0
910,ecs.e3.3xlarge,optimized,vpc,linux,cn-hongkong,8.827,4080.39,1142.5,41619.98,68550.55,73447.02,97929.36,122411.7
911,ecs.hfc5.large,optimized,vpc,windows,cn-shanghai,0.922,265.05,78.12,2511.0,4017.6,4519.8,4821.12,5022.0
